,Strategy_Equity,Benchmark_Equity
2021-08-25,995120.0,1000000.0
2021-08-26,994466.625,994500.25
2021-08-27,992911.0,1004031.44
2021-08-30,985803.0625,1015378.1
2021-08-31,983170.25,1015191.2
2021-09-01,983805.375,1016579.4
2021-09-02,983294.1875,1015191.2
2021-09-03,988040.875,1018261.44
2021-09-07,992745.8125,1019356.0
2021-09-08,993381.25,1015298.0
2021-09-09,992574.3125,1012975.2
2021-09-10,995795.8125,1004378.56
2021-09-13,997989.3125,1005579.8
2021-09-14,989322.25,1003203.75
2021-09-15,986641.0625,1009504.44
2021-09-16,984580.75,1008223.3
2021-09-17,993055.5625,996903.0
2021-09-20,982592.5625,977733.94
2021-09-21,981159.375,974316.56
2021-09-22,981008.0625,988600.0
2021-09-23,987244.375,995888.5
2021-09-24,988211.75,997543.5
2021-09-27,980698.5625,987131.3
2021-09-28,979980.5625,963183.44
2021-09-29,988228.125,962302.44
2021-09-30,985541.5625,957630.25
2021-10-01,997448.0625,961928.4
2021-10-04,1012756.875,942679.4
2021-10-05,1009058.9375,952797.94
2021-10-06,1005682.75,963877.6
2021-10-07,1004499.6875,971299.6
2021-10-08,994730.3125,963397.06
2021-10-11,996596.625,955814.8
2021-10-12,991125.9375,950528.6
2021-10-13,987609.5,963477.2
2021-10-14,987845.125,980937.7
2021-10-15,987077.5,985930.2
2021-10-18,987109.8125,995247.8
2021-10-19,982317.125,1002883.44
2021-10-20,981916.8125,998104.44
2021-10-21,982352.5,1001708.75
2021-10-22,984976.25,997223.4
2021-10-25,982286.125,1011346.7
2021-10-26,980450.875,1012654.8
2021-10-27,986685.125,1017060.06
2021-10-28,989240.3125,1019996.75
2021-10-29,993760.375,1032544.9
2021-11-01,993264.375,1033345.8
2021-11-02,991760.1875,1037510.6
2021-11-03,989446.8125,1053422.8
2021-11-04,1000160.375,1063461.1
2021-11-05,1014818.5,1063034.0
2021-11-08,1011303.1875,1060150.6
2021-11-09,1007964.3125,1052915.5
2021-11-10,1006350.0625,1042556.6
2021-11-11,1004668.875,1046481.25
2021-11-12,1005071.375,1054517.4
2021-11-15,1004540.4375,1053903.2
2021-11-16,1003562.5625,1061298.6
2021-11-17,1004241.625,1062873.8
2021-11-18,1001367.875,1073980.1
2021-11-19,998854.0625,1079399.9
2021-11-22,1024975.4375,1067519.2
2021-11-23,1049624.625,1060711.2
2021-11-24,1047191.125,1065703.8
2021-11-26,1021996.9375,1043571.1
2021-11-29,1012032.4375,1069575.0
2021-11-30,1030479.6875,1054170.2
2021-12-01,1030107.1875,1036816.6
2021-12-02,1058472.875,1037804.4
2021-12-03,1088788.125,1020797.75
2021-12-06,1088176.5,1031209.94
2021-12-07,1090594.375,1066611.5
2021-12-08,1099695.25,1066317.8
2021-12-09,1101789.625,1051900.9
2021-12-10,1114011.0,1062046.0
2021-12-13,1111707.375,1048376.8
2021-12-14,1134428.25,1037323.8
2021-12-15,1113701.875,1061805.9
2021-12-16,1123932.875,1032972.0
2021-12-17,1105172.0,1032972.0
2021-12-20,1092690.125,1021598.7
2021-12-21,1089313.375,1037031.2
2021-12-22,1084025.25,1052007.6
2021-12-23,1087426.25,1060097.2
2021-12-27,1088386.75,1076463.1
2021-12-28,1089653.625,1075662.1
2021-12-29,1083220.25,1070295.8
2021-12-30,1080615.75,1065196.5
2021-12-31,1072178.375,1062713.5
2022-01-03,1083689.875,1072912.2
2022-01-04,1145885.625,1055825.5
2022-01-05,1131309.0,1026965.0
2022-01-06,1154219.375,1031076.56
2022-01-07,1205230.5,1013776.2
2022-01-10,1198977.5,1017246.8
2022-01-11,1184738.625,1030168.6
2022-01-12,1186502.75,1033319.1
2022-01-13,1220765.75,1008142.8
2022-01-14,1232985.25,1015591.6
2022-01-18,1216121.625,987398.56
2022-01-19,1233597.75,979629.4
2022-01-20,1241928.0,956482.3
2022-01-21,1210854.0,935631.1
2022-01-24,1091593.0,933281.75
2022-01-25,1046270.5625,920306.5
2022-01-26,1073133.375,921668.1
2022-01-27,1088069.875,919318.7
2022-01-28,1161852.75,941638.25
2022-01-31,1152139.625,968309.5
2022-02-01,1154635.375,985422.94
2022-02-02,1131028.25,961581.9
2022-02-03,1133414.875,961234.56
2022-02-04,1122371.375,955788.1
2022-02-07,1126465.375,950822.4
2022-02-08,1109297.875,960487.0
2022-02-09,1108943.25,977146.5
2022-02-10,1115719.875,953652.3
2022-02-11,1085183.875,925833.0
